names,address,mail,country,account_created_at,transactions,street,city,post_code,address_country
kristen smith,"{'address': {'streeet': '655 emma valley apt. 163', 'city': 'east ryan', 'post code': 21532-75604, 'country': 'uruguay'}",brandi01@perkins.com,uruguay,2023-08-30 16:27:59.915,"[{'amount': '$254,54', 'transactiondate': '2024_08-01 16:48:29.895894', 'tt': {'t': 'transfer', 'from': 'gb43xvsm53732894187154', 'to': 'gb30rhyv64529953374372'}}, {'amount': '$848,2', 'transaction date': '2024_07-12 15:22:09.778445', 'tt': {'t': 'charge', 'from': 'gb43xvsm53732894187154', 'to': none}}, {'amount': '$797,95', 'transactiondate': '2023_12-03 11:07:10.701950', 'tt': {'t': 'transfer', 'from': 'gb43xvsm53732894187154', 'to': 'gb15drap99321977846466'}}]",,,,
marcus mendoza,"{'address': {'streeet': '61225 hatfield divide apt. 311', 'city': 'miguelfurt', 'post code': 26931-53136, 'country': 'puerto rico'}",shane58@anderson.com,puerto rico,2014-03-11 07:44:37.060,"[{'amount': '£723,79', 'transaction_date': '2023_03-01 18:40:32.251764', 'tt': {'t': 'deposit', 'from': 'gb84iomx72607238701695', 'to': 'null'}}, {'amount': '£514,98', 'transaction date': '2018_08-25 20:23:35.800398', 'tt': {'t': 'withdrawal', 'from': 'gb84iomx72607238701695', 'to': none}}, {'amount': '£939,78', 'transactiondate': '2019_09-16 04:14:09.649943', 'tt': {'t': 'withdrawal', 'from': 'gb84iomx72607238701695', 'to': 'null'}}, {'amount': '£813,86', 'transaction date': '2024_02-01 09:45:32.882016', 'tt': {'t': 'deposit', 'from': 'gb84iomx72607238701695', 'to': none}}, {'amount': '£717,52', 'transaction date': '2019_10-23 13:32:46.448055', 'tt': {'t': 'transfer', 'from': 'gb84iomx72607238701695', 'to': 'gb67abas99191525075319'}}, {'amount': '£627,75', 'transaction_date': '2017_05-03 18:14:29.244622', 'tt': {'t': 'deposit', 'from': 'gb84iomx72607238701695', 'to': none}}, {'amount': '£966,47', 'transactiondate': '2021_12-01 21:03:44.455144', 'tt': {'t': 'charge', 'from': 'gb84iomx72607238701695', 'to': none}}, {'amount': '£384,20', 'transactiondate': '2022_04-11 10:47:46.276527', 'tt': {'t': 'withdrawal', 'from': 'gb84iomx72607238701695', 'to': 'null'}}, {'amount': '£665,10', 'transaction date': '2018_05-10 13:28:01.610025', 'tt': {'t': 'transfer', 'from': 'gb84iomx72607238701695', 'to': 'gb12eaaj16414067488261'}}, {'amount': '£803,40', 'transaction_date': '2023_09-04 13:04:59.957715', 'tt': {'t': 'deposit', 'from': 'gb84iomx72607238701695', 'to': 'null'}}]",,,,
stephanie reyes,"{'address': {'streeet': '48873 carney brook', 'city': 'south michael', 'post code': 71840-65954, 'country': 'andorra'}",jenna63@young.com,andorra,2011-05-30 16:29:53.677,"[{'amount': '$405,69', 'transactiondate': '2015_08-12 03:02:51.673048', 'tt': {'t': 'transfer', 'from': 'gb81jbac88038097315278', 'to': 'gb60teuu04838032989038'}}, {'amount': '$940,75', 'transaction_date': '2019_02-08 18:30:25.195652', 'tt': {'t': 'deposit', 'from': 'gb81jbac88038097315278', 'to': none}}]",,,,
steven anderson,"{'address': {'streeet': '5168 lisa stream', 'city': 'north julietown', 'post code': 99038-53122, 'country': 'norway'}",longnathan@forbes.info,norway,2013-02-28 19:32:51.639,"[{'amount': '£665,47', 'transaction_date': '2018_07-27 02:46:25.263398', 'tt': {'t': 'withdrawal', 'from': 'gb35qbtz32483614674327', 'to': 'null'}}, {'amount': '£113,30', 'transaction_date': '2023_02-09 07:35:14.338867', 'tt': {'t': 'charge', 'from': 'gb35qbtz32483614674327', 'to': none}}, {'amount': '£779,34', 'transaction date': '2013_12-25 22:02:40.814023', 'tt': {'t': 'deposit', 'from': 'gb35qbtz32483614674327', 'to': none}}, {'amount': '£832,66', 'transaction_date': '2014_03-02 00:31:48.209353', 'tt': {'t': 'transfer', 'from': 'gb35qbtz32483614674327', 'to': 'gb39bjys50594671728141'}}, {'amount': '£668,22', 'transactiondate': '2022_12-02 08:09:47.267898', 'tt': {'t': 'deposit', 'from': 'gb35qbtz32483614674327', 'to': none}}, {'amount': '£318,70', 'transactiondate': '2020_09-01 23:39:26.046113', 'tt': {'t': 'transfer', 'from': 'gb35qbtz32483614674327', 'to': 'gb70elam08392669980029'}}, {'amount': '£948,44', 'transaction_date': '2015_12-19 09:21:33.114311', 'tt': {'t': 'charge', 'from': 'gb35qbtz32483614674327', 'to': 'null'}}, {'amount': '£919,7', 'transactiondate': '2022_12-20 07:41:57.365849', 'tt': {'t': 'withdrawal', 'from': 'gb35qbtz32483614674327', 'to': none}}, {'amount': '£320,60', 'transaction date': '2017_11-27 09:14:34.258256', 'tt': {'t': 'deposit', 'from': 'gb35qbtz32483614674327', 'to': 'null'}}]",,,,
david thompson,"{'address': {'streeet': '227 laura stream', 'city': 'davidburgh', 'post code': 63728-98504, 'country': 'seychelles'}",littlematthew@palmer.com,seychelles,2003-08-31 00:40:42.251,"[{'amount': '£169,18', 'transactiondate': '2022_05-21 08:05:47.439653', 'tt': {'t': 'charge', 'from': 'gb59dfsd20714961669181', 'to': 'null'}}]",,,,
heather glover,"{'address': {'streeet': '874 jessica mount apt. 527', 'city': 'davidhaven', 'post code': 76576-85887, 'country': 'united states minor outlying islands'}",xjohnson@gomez.com,united states minor outlying islands,2007-03-12 09:09:50.371,"[{'amount': '€182,98', 'transaction_date': '2010_12-25 14:41:49.555141', 'tt': {'t': 'deposit', 'from': 'gb42flrv53525400299935', 'to': none}}]",,,,
luis lyons,"{'address': {'streeet': '074 hannah plain', 'city': 'murraymouth', 'post code': 84475-98375, 'country': 'honduras'}",tabithalopez@becker.biz,honduras,2022-01-26 05:44:27.889,"[{'amount': '€541,15', 'transactiondate': '2022_04-04 06:31:50.031224', 'tt': {'t': 'withdrawal', 'from': 'gb30qbzw37557981985024', 'to': 'null'}}, {'amount': '€390,77', 'transaction date': '2022_12-03 04:00:17.365062', 'tt': {'t': 'withdrawal', 'from': 'gb30qbzw37557981985024', 'to': none}}, {'amount': '€574,85', 'transactiondate': '2022_04-11 03:14:10.854756', 'tt': {'t': 'deposit', 'from': 'gb30qbzw37557981985024', 'to': 'null'}}, {'amount': '€962,21', 'transaction date': '2023_12-17 18:51:28.461032', 'tt': {'t': 'deposit', 'from': 'gb30qbzw37557981985024', 'to': none}}, {'amount': '€24,17', 'transaction_date': '2023_06-15 20:15:00.830446', 'tt': {'t': 'deposit', 'from': 'gb30qbzw37557981985024', 'to': none}}, {'amount': '€519,98', 'transactiondate': '2022_03-10 09:46:26.966728', 'tt': {'t': 'deposit', 'from': 'gb30qbzw37557981985024', 'to': none}}, {'amount': '€66,12', 'transaction date': '2022_08-14 00:43:59.201307', 'tt': {'t': 'deposit', 'from': 'gb30qbzw37557981985024', 'to': none}}, {'amount': '€782,28', 'transactiondate': '2024_01-13 23:45:08.724908', 'tt': {'t': 'transfer', 'from': 'gb30qbzw37557981985024', 'to': 'gb64avop97522285607821'}}]",,,,
erin gonzalez,"{'address': {'streeet': '95081 kim groves suite 920', 'city': 'west kirk', 'post code': 05033-40064, 'country': 'seychelles'}",isaiah21@byrd.com,seychelles,2006-08-31 13:38:29.993,"[{'amount': '€383,40', 'transaction_date': '2017_03-05 11:55:53.317112', 'tt': {'t': 'transfer', 'from': 'gb50vmgy08212300403889', 'to': 'gb51pjal13677863868300'}}, {'amount': '€70,28', 'transaction_date': '2014_06-01 22:24:51.024014', 'tt': {'t': 'transfer', 'from': 'gb50vmgy08212300403889', 'to': 'gb62oebw97605937375636'}}, {'amount': '€175,39', 'transaction_date': '2017_06-10 12:37:17.613315', 'tt': {'t': 'withdrawal', 'from': 'gb50vmgy08212300403889', 'to': 'null'}}, {'amount': '€33,25', 'transaction_date': '2009_05-18 01:40:56.249081', 'tt': {'t': 'transfer', 'from': 'gb50vmgy08212300403889', 'to': 'gb23gqxs40153633654783'}}, {'amount': '€885,42', 'transaction_date': '2011_09-09 14:46:25.121627', 'tt': {'t': 'transfer', 'from': 'gb50vmgy08212300403889', 'to': 'gb31sxxn73026759187653'}}, {'amount': '€60,41', 'transactiondate': '2021_08-09 06:12:31.158392', 'tt': {'t': 'deposit', 'from': 'gb50vmgy08212300403889', 'to': 'null'}}]",,,,
michael gilbert phd,"{'address': {'streeet': '4860 munoz valley', 'city': 'gardnerberg', 'post code': 74483-70730, 'country': 'australia'}",davidevans@hernandez.com,australia,2008-09-17 16:11:33.478,"[{'amount': '£731,88', 'transactiondate': '2014_10-05 15:57:39.394592', 'tt': {'t': 'withdrawal', 'from': 'gb81zfcw70414956874334', 'to': 'null'}}, {'amount': '£103,33', 'transaction_date': '2011_08-22 00:32:04.363044', 'tt': {'t': 'transfer', 'from': 'gb81zfcw70414956874334', 'to': 'gb02twuz90719560978070'}}, {'amount': '£376,45', 'transactiondate': '2015_06-14 16:53:09.686699', 'tt': {'t': 'deposit', 'from': 'gb81zfcw70414956874334', 'to': none}}, {'amount': '£993,93', 'transaction date': '2020_09-28 22:07:57.331721', 'tt': {'t': 'deposit', 'from': 'gb81zfcw70414956874334', 'to': 'null'}}, {'amount': '£809,38', 'transaction date': '2021_01-14 06:12:57.385529', 'tt': {'t': 'withdrawal', 'from': 'gb81zfcw70414956874334', 'to': 'null'}}]",,,,
rebecca dalton,"{'address': {'streeet': '7498 weber drive apt. 018', 'city': 'south michelle', 'post code': 64713-79311, 'country': 'timor-leste'}",rholmes@monroe.com,timor-leste,2003-12-19 17:30:10.968,"[{'amount': '£726,24', 'transaction date': '2004_07-22 12:51:16.250915', 'tt': {'t': 'transfer', 'from': 'gb91frie09874457154428', 'to': 'gb11ghkx69100206387019'}}, {'amount': '£669,23', 'transaction date': '2018_04-09 04:10:55.615397', 'tt': {'t': 'deposit', 'from': 'gb91frie09874457154428', 'to': 'null'}}, {'amount': '£992,4', 'transaction date': '2015_12-19 02:51:36.892657', 'tt': {'t': 'withdrawal', 'from': 'gb91frie09874457154428', 'to': 'null'}}, {'amount': '£405,33', 'transactiondate': '2005_06-05 10:07:44.156265', 'tt': {'t': 'deposit', 'from': 'gb91frie09874457154428', 'to': none}}, {'amount': '£560,50', 'transactiondate': '2005_06-25 12:57:52.654362', 'tt': {'t': 'withdrawal', 'from': 'gb91frie09874457154428', 'to': 'null'}}]",,,,
